appid,name,type,required_age,is_free,short_description,capsule_image,developers,publishers,release_date,platforms,metacritic_score,categories,genres,price,movies,os,simplified_os,os_rank,cpu_unorganised,cpu,cpu_rank,gpu_unorganised,gpu,gpu_rank,ram,ram_gb,storage,storage_gb,number_downloads_old,game_revenue_sales,RAND,number_downloads
1938090,Call of Duty®,game,17,FALSE,"The call of duty® experience supports call of duty®: black ops 6, call of duty®: modern warfare® iii, call of duty®: modern warfare® ii and call of duty®: warzone™.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1938090/capsule_231x87.jpg?t=1731604848,"Treyarch, Raven Software, Beenox, High Moon Studios, Activision Shanghai, Sledgehammer Games, Infinity Ward, Demonware, Toys for Bob",Activision,"Oct 27, 2022","windows, mac, linux",,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Captions available, In-App Purchases",Action,0.00,http://video.akamai.steamstatic.com/store_trailers/257073269/movie_max_vp9.webm?t=1731603673,Windows 10 64 Bit (latest update) or Windows 11 64 Bit (latest update),Windows 10,5,AMD Ryzen 5 1600X or Intel Core i7-6700K,"i7 6700K Series, Ryzen 5 1600K Series",88,AMD Radeon RX 6600XT or NVIDIA GeForce GTX 1080Ti / RTX 3060,"Nvidia GTX 1080 Series, Nvidia RTX 3060 Series, AMD RX 6600 Series",7,12 GB RAM,12,128 GB,128,75000000,0,1992405,76992405
394360,Hearts of Iron IV,game,0,FALSE,"Victory is at your fingertips! your ability to lead your nation is your supreme weapon, the strategy game hearts of iron iv lets you take command of any nation in world war ii; the most engaging conflict in world history.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/394360/d63499ddaf322a6f7bcf9adf2e7d5876d5489beb/capsule_231x87_alt_assets_2.jpg?t=1731604776,Paradox Development Studio,Paradox Interactive,"Jun 6, 2016","windows, mac, linux",83,"Single-player, Multi-player, Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Remote Play on Tablet, Family Sharing","Simulation, Strategy",14.99,http://video.akamai.steamstatic.com/store_trailers/257012977/movie_max_vp9.webm?t=1712235668,Windows 10 Home 64 Bit,Windows 10,5,Intel Core i5 2500K | AMD Ryzen 3 2200G,"i5 2500K Series, Ryzen 3 2200K Series",51,Nvidia GeForce GTX 570 (1.28GB) | AMD Radeon HD 7970 (3GB) | Intel Iris Xe G7 (Tiger Lake),"Nvidia GTX 570 Series, AMD HD 7970 Series, Intel Iris Series",3,6 GB RAM,6,,,7500000,112784849.9,24006,7524006
227300,Euro Truck Simulator 2,game,0,FALSE,"Travel across europe as king of the road, a trucker who delivers important cargo across impressive distances! with dozens of cities to explore, your endurance, skill and speed will all be pushed to their limits.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/227300/capsule_231x87.jpg?t=1731601538,SCS Software,SCS Software,"Oct 12, 2012","windows, mac, linux",79,"Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Workshop, Partial Controller Support, Steam Cloud, Includes level editor, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, Family Sharing","Indie, Simulation",4.99,http://video.akamai.steamstatic.com/store_trailers/257073821/movie_max_vp9.webm?t=1731601537,Windows 10 64-bit,Windows 10,5,Intel Core i5-9600 or AMD Ryzen 5 3600 or similar,"i5 9600K Series, Ryzen 5 3600K Series",77,NVIDIA GeForce GTX 1660 or AMD Radeon RX 590 (2GB VRAM),"Nvidia GTX 1660 Series, AMD RX 590 Series",6,12 GB RAM,12,25 GB,25,15000000,76945700.2,419980,15419980
2358720,Black Myth: Wukong,game,0,FALSE,"Black myth: wukong is an action rpg rooted in chinese mythology. you shall set out as the destined one to venture into the challenges and marvels ahead, to uncover the obscured truth beneath the veil of a glorious legend from the past.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2358720/b7f722ddd5e23503f598586aa3700dd4d827bb2d/capsule_231x87.jpg?t=1732286900,Game Science,Game Science,"Aug 19, 2024","windows, mac, linux",,"Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Action, Adventure, RPG",59.99,http://video.akamai.steamstatic.com/store_trailers/257048125/movie_max_vp9.webm?t=1729236218,Windows 10 64-bit,Windows 10,5,Intel Core i7-9700 / AMD Ryzen 5 5500,"i7 9700K Series, Ryzen 5 5500K Series",96,NVIDIA GeForce RTX 2060 / AMD Radeon RX 5700 XT / INTEL Arc A750,"Nvidia RTX 2060 Series, AMD RX 5700 Series, Intel Arc a750 Series",8,16 GB RAM,16,130 GB,130,35000000,2150444853,846722,35846722
49520,Borderlands 2,game,17,FALSE,The ultimate vault hunter’s upgrade lets you get the most out of the borderlands 2 experience.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/49520/capsule_231x87.jpg?t=1728608124,"Gearbox Software, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)","Sep 17, 2012","windows, mac, linux",89,"Single-player, Multi-player, Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing","Action, RPG",19.99,http://video.akamai.steamstatic.com/store_trailers/2029699/movie_max.webm?t=1447359143,Windows XP SP3/Vista/Win 7,Windows XP,1,2.3 GHz Quad Core processor,Quad Core Series,37,NVIDIA GeForce GTX 560 / ATI Radeon HD 5850,"Nvidia GTX 560 Series, AMD HD 5850 Series",3,2 GB RAM,2,20 GB,20,15000000,323792262.9,1197712,16197712
377160,Fallout 4,game,17,FALSE,"Bethesda game studios, the award-winning creators of fallout 3 and the elder scrolls v: skyrim, welcome you to the world of fallout 4 – their most ambitious game ever, and the next generation of open-world gaming.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/377160/capsule_231x87.jpg?t=1726758475,Bethesda Game Studios,Bethesda Softworks,"Nov 9, 2015","windows, mac, linux",84,"Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",RPG,19.99,http://video.akamai.steamstatic.com/store_trailers/256658080/movie_max.webm?t=1447378809,Windows 7/8/10 (64-bit OS required),Windows 7,3,Intel Core i7 4790 3.6 GHz/AMD FX-9590 4.7 GHz or equivalent,"i7 4790K Series, FX 9590K Series",83,NVIDIA GTX 780 3GB/AMD Radeon R9 290X 4GB or equivalent,Nvidia GTX 780 Series,5,8 GB RAM,8,30 GB,30,15000000,287222696.8,-631681,14368319
431960,Wallpaper Engine,game,0,FALSE,Use stunning live wallpapers on your desktop. animate your own images to create new wallpapers or import videos/websites and share them on the steam workshop!,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/431960/capsule_231x87.jpg?t=1717097477,Wallpaper Engine Team,Wallpaper Engine Team,"Nov 01, 2018","windows, mac, linux",,"Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Workshop, Includes level editor","Casual, Indie, Animation & Modeling, Design & Illustration, Photo Editing, Utilities",2.79,http://video.akamai.steamstatic.com/store_trailers/256735610/movie_max_vp9.webm?t=1637933023,"Windows 10, Windows 11",Windows 10,5,2.0 GHz Intel i7 or equivalent,i7 4790K Series,84,"NVIDIA GeForce GTX 660, AMD HD7870, 2 GB VRAM or above","Nvidia GTX 660 Series, AMD HD 7870 Series",4,2048 MB RAM,2.048,1024 MB,1.024,35000000,107138918.3,3401046,38401046
359550,Tom Clancy's Rainbow Six® Siege,game,17,FALSE,"Tom clancy's rainbow six® siege is an elite, tactical team-based shooter where superior planning and execution triumph.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/359550/capsule_231x87.jpg?t=1731968067,Ubisoft Montreal,Ubisoft,"Dec 1, 2015","windows, mac, linux",,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Full controller support, Steam Trading Cards, In-App Purchases, Remote Play on Phone, Remote Play on Tablet",Action,19.99,http://video.akamai.steamstatic.com/store_trailers/256988531/movie_max_vp9.webm?t=1702416326,"Windows 10, Windows 11 (64-bit versions)",Windows 10,5,"AMD Ryzen 3 1200 @ 3.1 GHz, Intel Core i5-4590 @ 3.3 GHz, or better","i5 4590K Series, Ryzen 3 1200K Series",61,"AMD RX 560 (4 GB), Intel ARC A380 (6 GB), NVIDIA GeForce GTX 960 (4 GB), or better","Nvidia GTX 960 Series, AMD RX 560 Series, Intel Arc a380 Series",6,8 GB RAM,8,86 GB,86,35000000,746407669.5,2339053,37339053
291550,Brawlhalla,game,0,TRUE,"An epic platform fighter for up to 8 players online or local. try casual free-for-alls, ranked matches, or invite friends to a private room. and it's free! play cross-platform with millions of players on playstation, xbox, nintendo switch, ios, android &amp; steam! frequent updates. over sixty legends.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/291550/93430fecf95b0eefb413eb77eafdced1c5c5b520/capsule_231x87.jpg?t=1731092134,Blue Mammoth Games,Ubisoft,"Oct 17, 2017","windows, mac, linux",,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together","Action, Indie, Free To Play",0.00,http://video.akamai.steamstatic.com/store_trailers/257058366/movie_max_vp9.webm?t=1727271449,,Windows Unknown,0,,Other/Uncategorized,23,,Other/Uncategorized,0,4 GB RAM,4,2 GB,2,35000000,0,-1595200,33404800
945360,Among Us,game,0,FALSE,An online and local party game of teamwork and betrayal for 4-15 players...in space!,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/945360/capsule_231x87.jpg?t=1731953093,Innersloth,Innersloth,"Nov 16, 2018","windows, mac, linux",85,"Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Full controller support, Remote Play on Phone, Remote Play on Tablet, Family Sharing",Casual,4.99,http://video.akamai.steamstatic.com/store_trailers/257032139/movie_max_vp9.webm?t=1718741653,Windows 10 x64bit,Windows 10,5,INTEL i3-4330,i3 4330K Series,41,Nvidia GTX 650,Nvidia GTX 650 Series,4,4 GB RAM,4,2 GB,2,35000000,158475289.3,-3241425,31758575
570,Dota 2,game,0,TRUE,"Every day, millions of players worldwide enter battle as one of over a hundred dota heroes. and no matter if it's their 10th hour of play or 1,000th, there's always something new to discover. with regular updates that ensure a constant evolution of gameplay, features, and heroes, dota 2 has taken on a life of its own.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/570/capsule_231x87.jpg?t=1731544174,Valve,Valve,"Jul 9, 2013","windows, mac, linux",90,"Multi-player, Co-op, Steam Trading Cards, Steam Workshop, SteamVR Collectibles, In-App Purchases, Valve Anti-Cheat enabled, Steam Timeline","Action, Strategy, Free To Play",0.00,http://video.akamai.steamstatic.com/store_trailers/256692021/movie_max.webm?t=1731033148,Windows 7 or newer,Windows 7,3,Dual core from Intel or AMD at 2.8 GHz,Dual Core Series,10,"NVIDIA GeForce 8600/9600GT, ATI/AMD Radeon HD2600/3600","Nvidia GeForce 8600 Series, AMD HD 2600 Series",1,4 GB RAM,4,60 GB,60,350000000,0,18742046,368742046
1172470,Apex Legends™,game,0,TRUE,"Apex legends is the award-winning, free-to-play hero shooter from respawn entertainment. master an ever-growing roster of legendary characters with powerful abilities, and experience strategic squad play and innovative gameplay in the next evolution of hero shooter and battle royale.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1172470/8249072b14153cdb6bb65e2357f24d86daf7d965/capsule_231x87.jpg?t=1730895196,Respawn,Electronic Arts,"Nov 04, 2020","windows, mac, linux",88,"Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, In-App Purchases","Action, Adventure, Free To Play",0.00,http://video.akamai.steamstatic.com/store_trailers/257071165/movie_max_vp9.webm?t=1730895174,64-bit Windows 10,Windows 10,5,Ryzen 5 CPU or Equivalent,Ryzen 5 1600K Series,38,"AMD Radeon R9 290, NVIDIA GeForce GTX 970",Nvidia GTX 970 Series,6,8 GB RAM,8,75 GB,75,75000000,0,910065,75910065
1222670,The Sims™ 4,game,0,TRUE,Play with life and discover the possibilities. unleash your imagination and create a world of sims that’s wholly unique. explore and customize every detail from sims to homes–and much more.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1222670/capsule_231x87.jpg?t=1731608003,Maxis,Electronic Arts,"Jun 18, 2020","windows, mac, linux",,"Single-player, Steam Trading Cards, Remote Play on Tablet","Adventure, Casual, Simulation, Free To Play",0.00,http://video.akamai.steamstatic.com/store_trailers/256911304/movie_max_vp9.webm?t=1666105085,64 Bit Windows 10,Windows 10,5,"Intel core i5 (4 cores), AMD Ryzen 5 or better","i5 2500K Series, Ryzen 5 1500K Series",54,"1 GB of Video RAM, NVIDIA GTX 650, AMD Radeon HD 7750, or better","Nvidia GTX 650 Series, AMD HD 7750 Series",4,8 GB RAM,8,51 GB,51,15000000,0,-1472019,13527981
438100,VRChat,game,0,TRUE,"Join our growing community as you explore, play, and help craft the future of social vr. create worlds and custom avatars. welcome to vrchat.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/438100/capsule_231x87.jpg?t=1729272027,VRChat Inc.,VRChat Inc.,"Feb 01, 2017","windows, mac, linux",,"Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Full controller support, Tracked Controller Support, VR Supported, In-App Purchases","Adventure, Casual, Massively Multiplayer, Simulation, Sports, Free To Play, Early Access",0.00,http://video.akamai.steamstatic.com/store_trailers/256738338/movie_max.webm?t=1544752288,Windows 10/11,Windows 10,5,Intel i5-4590 / AMD FX 8350 equivalent or greater,"i5 4590K Series, FX 8350K Series",60,NVIDIA GeForce GTX 970 / AMD Radeon R9 290 equivalent or greater,Nvidia GTX 970 Series,6,4 GB RAM,4,1 GB,1,15000000,0,236834,15236834
1174180,Red Dead Redemption 2,game,0,FALSE,"Winner of over 175 game of the year awards and recipient of over 250 perfect scores, rdr2 is the epic tale of outlaw arthur morgan and the infamous van der linde gang, on the run across america at the dawn of the modern age. also includes access to the shared living world of red dead online.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1174180/capsule_231x87.jpg?t=1720558643,Rockstar Games,Rockstar Games,"Dec 05, 2019","windows, mac, linux",93,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, In-App Purchases, Partial Controller Support, Remote Play on Phone, Remote Play on Tablet","Action, Adventure",19.79,http://video.akamai.steamstatic.com/store_trailers/256768279/movie_max.webm?t=1574881436,Windows 10 - 64-bit,Windows 10,5,Intel Core i7-4770K / AMD Ryzen 5 1500X,"i7 4770K Series, Ryzen 5 1500K Series",82,Nvidia GeForce GTX 1060 6GB / AMD Radeon RX 480 4GB,"Nvidia GTX 1060 Series, AMD RX 480 Series",7,12 GB RAM,12,150 GB,150,15000000,320519611.8,1196039,16196039
60,Ricochet,game,0,FALSE,"A futuristic action game that challenges your agility as well as your aim, ricochet features one-on-one and team matches played in a variety of futuristic battle arenas.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/60/capsule_231x87.jpg?t=1729701834,Valve,Valve,"Nov 1, 2000","windows, mac, linux",,"Multi-player, PvP, Online PvP, Valve Anti-Cheat enabled, Family Sharing",Action,4.99,,Windows XP,Windows XP,1,800 mhz processor,Other/Uncategorized,23,32mb+ video card,Generic Graphics Card / Video Memory,0,128 MB RAM,0.128,2 GB,2,75000000,394595467.5,4077248,79077248
578080,PUBG: BATTLEGROUNDS,game,0,TRUE,"Play pubg: battlegrounds for free. land on strategic locations, loot weapons and supplies, and survive to become the last team standing across various, diverse battlegrounds. squad up and join the battlegrounds for the original battle royale experience that only pubg: battlegrounds can offer.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/062ab094c0ab01e2569a86417483fd51985ad9cf/capsule_231x87.jpg?t=1730854557,PUBG Corporation,"KRAFTON, Inc.","Dec 21, 2017","windows, mac, linux",,"Multi-player, PvP, Online PvP, Stats, Remote Play on Phone, Remote Play on Tablet","Action, Adventure, Massively Multiplayer, Free To Play",0.00,,64-bit Windows 10,Windows 10,5,Intel Core i5-6600K / AMD Ryzen 5 1600,"i5 6600K Series, Ryzen 5 1600K Series",66,NVIDIA GeForce GTX 1060 3GB / AMD Radeon RX 580 4GB,"Nvidia GTX 1060 Series, AMD RX 580 Series",7,16 GB RAM,16,50 GB,50,150000000,0,14278861,164278861
755790,Ring of Elysium,game,0,FALSE,"Escape an astonishing disaster in ring of elysium, a battle royale shooter developed by aurora studio.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/755790/capsule_231x87.jpg?t=1693573300,Aurora Studio,TCH Scarlet Limited,"Jun 24, 2019","windows, mac, linux",,"Multi-player, PvP, Online PvP, Family Sharing","Action, Free To Play, Massively Multiplayer",0.00,http://video.akamai.steamstatic.com/store_trailers/256846366/movie_max_vp9.webm?t=1642904137,"Windows 7, Windows 8.1, Windows 10 (64-bit version)",Windows 7,3,"Intel i5 2500(4 Core, 3.3HGz) or equivalent",i5 2500K Series,49,NVIDIA GeForce GTX 1050 or equivalent,Nvidia GTX 1050 Series,7,6 GB RAM,6,10 GB,10,15000000,0,884760,15884760
